ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 90,City of Manila,PH1303901090,645.0,460.74582371985554
Barangay 91,City of Manila,PH1303901091,4453.0,2611.5465227433456
Barangay 92,City of Manila,PH1303901092,2519.0,1226.6770478930835
Barangay 93,City of Manila,PH1303901093,4586.0,2024.73018885467
Barangay 94,City of Manila,PH1303901094,2117.0,4520.490223737693
Barangay 95,City of Manila,PH1303901095,4994.0,1539.24261639578
Barangay 96,City of Manila,PH1303901096,2230.0,4093.4637759392735
Barangay 97,City of Manila,PH1303901097,3656.0,1404.2169288228617
Barangay 98,City of Manila,PH1303901098,1877.0,650.1427780486125
Barangay 99,City of Manila,PH1303901099,3682.0,597.1776126690602
Barangay 100,City of Manila,PH1303901100,2340.0,1354.7939105444998
Barangay 101,City of Manila,PH1303901101,13659.0,4800.592929025165
Barangay 102,City of Manila,PH1303901102,4616.0,1103.2261232090873
Barangay 103,City of Manila,PH1303901103,5071.0,1520.985685863504
Barangay 104,City of Manila,PH1303901104,5801.0,1797.3985770476318
Barangay 105,City of Manila,PH1303901105,26494.0,23397.746125645594
Barangay 106,City of Manila,PH1303901106,2716.0,3445.5539356247145
Barangay 107,City of Manila,PH1303901107,7153.0,7262.272457379268
Barangay 108,City of Manila,PH1303901108,5114.0,1479.414500842666
Barangay 109,City of Manila,PH1303901109,3495.0,1236.5225364679918
Barangay 110,City of Manila,PH1303901110,2431.0,8224.58713558742
Barangay 111,City of Manila,PH1303901111,2676.0,670.6476798652596
Barangay 112,City of Manila,PH1303901112,5840.0,1266.9075888910245
Barangay 116,City of Manila,PH1303901116,6182.0,1953.0918094990072
Barangay 117,City of Manila,PH1303901117,4262.0,969.1466124355582
Barangay 118,City of Manila,PH1303901118,10891.0,6552.786461677497
Barangay 119,City of Manila,PH1303901119,1877.0,860.2583838079757
Barangay 120,City of Manila,PH1303901120,3886.0,784.591066644187
Barangay 121,City of Manila,PH1303901121,4097.0,1292.6541759247848
Barangay 122,City of Manila,PH1303901122,3830.0,1072.38783051629
Barangay 123,City of Manila,PH1303901123,8879.0,4560.0933156527235
Barangay 124,City of Manila,PH1303901124,307.0,1417.8522930811591
Barangay 125,City of Manila,PH1303901125,3749.0,711.2565421974003
Barangay 126,City of Manila,PH1303901126,913.0,6304.18568827203
Barangay 127,City of Manila,PH1303901127,574.0,2087.182997719623
Barangay 128,City of Manila,PH1303901128,22298.0,49140.353818221476
Barangay 129,City of Manila,PH1303901129,5207.0,2177.121533848426
Barangay 130,City of Manila,PH1303901130,1398.0,1534.0729395803708
Barangay 131,City of Manila,PH1303901131,1258.0,1187.213886499116
Barangay 132,City of Manila,PH1303901132,1151.0,1942.657981148233
Barangay 133,City of Manila,PH1303901133,2317.0,3485.7249128222993
Barangay 134,City of Manila,PH1303901134,1104.0,1562.0662847048395
Barangay 135,City of Manila,PH1303901135,1946.0,1496.18689638367
Barangay 136,City of Manila,PH1303901136,1302.0,1326.048454021819
Barangay 137,City of Manila,PH1303901137,1060.0,1393.1549186816712
Barangay 138,City of Manila,PH1303901138,3217.0,1186.0678620784465
Barangay 139,City of Manila,PH1303901139,440.0,330.6498109294521
Barangay 140,City of Manila,PH1303901140,568.0,1498.8725425459954
Barangay 141,City of Manila,PH1303901141,553.0,321.4655757081314
Barangay 142,City of Manila,PH1303901142,1721.0,773.9499940535536
Barangay 143,City of Manila,PH1303901143,1421.0,475.2071524711019
Barangay 144,City of Manila,PH1303901144,893.0,1445.8078182204404
Barangay 145,City of Manila,PH1303901145,1109.0,813.9727959889419
Barangay 146,City of Manila,PH1303901146,2724.0,1728.2497253662088
Barangay 147,City of Manila,PH1303901147,2023.0,6004.636398735012
Barangay 148,City of Manila,PH1303901148,1827.0,4837.282912176369
Barangay 149,City of Manila,PH1303901149,1569.0,992.0570835357804
Barangay 150,City of Manila,PH1303901150,1922.0,2200.756759450371
Barangay 151,City of Manila,PH1303901151,1725.0,2421.266758926349
Barangay 152,City of Manila,PH1303901152,6016.0,1162.191903414898
Barangay 153,City of Manila,PH1303901153,1658.0,966.6480118669706
Barangay 154,City of Manila,PH1303901154,774.0,1117.977387097196
Barangay 155,City of Manila,PH1303901155,3292.0,834.4663722293893
Barangay 156,City of Manila,PH1303901156,1627.0,2002.4473490597138
Barangay 157,City of Manila,PH1303901157,1409.0,832.3309408996656
Barangay 158,City of Manila,PH1303901158,2037.0,1113.8996614237014
Barangay 159,City of Manila,PH1303901159,1595.0,632.9203318820714
Barangay 160,City of Manila,PH1303901160,1399.0,689.7838583897676
Barangay 161,City of Manila,PH1303901161,876.0,1387.7438358892812
Barangay 162,City of Manila,PH1303901162,586.0,1082.3057099188484
Barangay 163,City of Manila,PH1303901163,3850.0,2093.464787546028
